Name of the Industry,Location,District
M/s. Tirupati Enterprises,"At-Tulsibani, Rairangpur",Mayurbhanj
M/s. Kuber Extraction (P) Ltd,"At-Lasarda, Badabil",Kendujhar
M/s. Vedvyas Minerals,"At-Tentulidihi, Koira",Sundargada
M/s. Surya Khanij,At-Loidapada,Kendujhar
M/s. P. K. Transport,At-Khuruntir,Sundargada
M/s. B. J. Impex (India) Pvt. Ltd,At-Dubuna,Kendujhar
Shri Mahavir Ferro Alloys (P) Ltd,Kalunga Ind. Estate,Sundargada
M/s. Kiran Ispat & Mineral (P) Ltd,"At-Dalki, Badabil",Kendujhar
M/s. Das Minerals,"At-Kundrapani, Roida",Kendujhar
M/s. Maa Engineering,,Kendujhar
M/s. Rashmi Ferro Alloys (P) Ltd,"At-Rugudi, Guali",Kendujhar
M/s. Reliable Sponge (P) Ltd,"At-Jhariberna, Kendrikala, Bonai",Sundargada
M/s. Biraja Minerals,At-Jaraka,Jajpur
M/s. Beekay Steels & Power Ltd,"At-Uliburu, Nalanda",Kendujhar
M/s. Behera Minerals,At/PO-Tikayatpali,Sundargada
M/s. Gouri Minerals (P) Ltd,Kumundi,Kendujhar
M/s. Welcon Steel (P) Ltd,"At-Karangdihi, Kanjipani",Kendujhar
M/s. M.K. D Minerals & Exports (P) Ltd,Hatisikuli,Mayurbhanj
M/s. Vishwakarma Metallicks,"Baraghat, Kuliposh",Sundargada
M/s. Bhagaban Minerals (P) Ltd,"Karukhetra, Nalda",Kendujhar
M/s. G.P Minerals,"At-Ghasal Ind. Estate, Rajgangpur",Sundargada
M/s. Mahakaya Mineral,"Ichinda, Suakati",Kendujhar
M/s. Balaji Metalics (P) Ltd,"At-Khairabandha, Kalunga",Sundargada
M/s. Choudhury Iron & Steel Ind. Ltd,"Raichapala, Kumjharia",Sundargada
M/s. SCAW Industries (P) Ltd,Gundhichapada Ind. Estate,Dhenkanal
M/s. Indo Ingots & Rerollers,"Banspani, Joda",Kendujhar
M/s. Kalinga Sponge Iron Ltd,"Kalunda Ind. Estate, Kalunga",Sundargada
M/s. Danla Metalics,"Danla, Suakati",Kendujhar
M/s. Bajrang Ispat (P) Ltd,"At-Naikinbahal, Kuarmunda",Sundargada
M/s. Ispat Agencies (P) Ltd,"Gohidorah, Balanda",Sundargada
M/s. Core Minerals,"Kolmang, Malda",Sundargada
M/s. Anjani Steel (P) Ltd,Matkambeda Ind. Estate,Kendujhar
M/s. Ravish Metaliks,"Aanugaon, Chikitmati",Sundargada
M/s. Kalinga Mining Corporation (Inside Joruri Iron & Mn. Mine),"Joruri, Jajang",Kendujhar
M/s. Lucky Minerals,Kasia (Kha),Kendujhar
M/s. P. K. Associates,"Matkembeda, Bhadrasahi",Kendujhar
M/s. Orissa Stevedors Ltd,At-Badabil,Kendujhar
M/s. KMC,"At-Joruni, Jajang",Kendujhar
M/s. Utkal Industries,"Jalangadiha, Narayanpur",Kendujhar
M/s. Sidhi Minerals,Arda,Jharsuguda
M/s. G.A Steelmate India (P) Ltd,"Karakhendra, Badabil",Kendujhar
M/s. Rashmi Metaliks (P) Ltd,Koira,Sundargada
M/s. B. R. Sponge & Power Ltd,"Tumkela, Rajmunda",Sundargada
M/s. Rairon Mineral,Kuanor,Kendujhar
M/s. Maheswari Minerals,"Rajmunda, Soida",Anugul
M/s. Sree Mahavir Ferro Alloys (P) Ltd,Tankajoda,Sundargada
M/s. Rungta Sons (P) Ltd,"Orghat, Koira",Sundargada
M/s. Rungta Sons (P) Ltd (-do-),"Sanindupur, Koira",Sundargada
M/s. Feedrade & Co. (P) Ltd,"Nadidihi, Guali",Sundargada
M/s. Bonia Ind. Co. Ltd,"Teherai, Koira",Sundargada
M/s. Bonia Ind. Co. Ltd (-do-),"Nadidihi, Guali",Sundargada
M/s. Pawanjaya Sponge Iron Ltd,"Bijabahal, Kumjharia",Sundargada
M/s. Tata Steel Ltd,"Katamati, Deojhar",Kendujhar
M/s. Agroha Ispat (P) Ltd,Sannuagaon,Sundargada
M/s. Muskan Minerals (P) Ltd,"Jiabahal, Kalunga",Sundargada
M/s. Shivam Sponge Iron (P) Ltd,"Karakcha, Badabil",Kendujhar
M/s. Balgopal Minerals (P) Ltd,"Jalahari, Jajang",Kendujhar
M/s. Binodini Minerals,"Danla, Suakati",Kendujhar
M/s. Jajang Iron & Mn. Mines,Jajanga,Kendujhar
